date,value
2000-05-12,14.128238678
2000-05-15,13.9488334656
2000-05-16,14.2179422379
2000-05-17,13.9488334656
2000-05-18,13.8142766953
2000-05-19,13.8591299057
2000-05-22,12.5135803223
2000-05-23,12.8275413513
2000-05-24,12.692990303
2000-05-25,12.8275413513
2000-05-26,12.1547698975
2000-05-30,12.8723955154
2000-05-31,13.8142766953
2000-06-01,13.7694272995
2000-06-02,14.711309433
2000-06-05,15.0701208115
2000-06-06,14.8907136917
2000-06-07,15.2495241165
2000-06-08,14.5319004059
2000-06-09,15.8774471283
2000-06-12,15.7877492905
2000-06-13,15.1598272324
2000-06-14,15.5186367035
2000-06-15,14.3524971008
2000-06-16,13.9936857224
2000-06-19,14.128238678
2000-06-20,14.8010120392
2000-06-21,14.6216087341
2000-06-22,14.4421987534
2000-06-23,14.5319004059
2000-06-26,14.8907136917
2000-06-27,14.9355640411
2000-06-28,15.2046737671
2000-06-29,15.0252685547
2000-06-30,15.0701208115
2000-07-03,15.5634908676
2000-07-05,15.3392333984
2000-07-06,15.3392333984
2000-07-07,15.7877492905
2000-07-10,15.6083402634
2000-07-11,15.0701208115
2000-07-12,15.4737873077
2000-07-13,15.7428913116
2000-07-14,15.2495241165
2000-07-17,15.428937912
2000-07-18,14.9804191589
2000-07-19,14.845867157
2000-07-20,14.6216087341
2000-07-21,14.711309433
2000-07-24,13.9936857224
2000-07-25,14.0385360718
2000-07-26,13.9488334656
2000-07-27,13.6348714828
2000-07-28,12.8723955154
2000-07-31,13.2312088013
2000-08-01,13.4554672241
2000-08-02,13.545167923
2000-08-03,13.545167923
2000-08-04,13.3657627106
2000-08-07,12.9172487259
2000-08-08,12.4687299728
2000-08-09,13.276061058
2000-08-10,13.7694272995
2000-08-11,13.545167923
2000-08-14,13.9488334656
2000-08-15,13.8142766953
2000-08-16,14.3076438904
2000-08-17,14.5767526627
2000-08-18,13.6348714828
2000-08-21,13.6797227859
2000-08-22,13.9936857224
2000-08-23,13.5003204346
2000-08-24,13.7245702744
2000-08-25,13.6348714828
2000-08-28,14.128238678
2000-08-29,14.2179422379
2000-08-30,14.2179422379
2000-08-31,13.4554672241
2000-09-01,13.5003204346
2000-09-05,13.2312088013
2000-09-06,12.8275413513
2000-09-07,12.5584335327
2000-09-08,12.379026413
2000-09-11,12.5135803223
2000-09-12,12.5584335327
2000-09-13,12.379026413
2000-09-14,12.379026413
2000-09-15,12.109919548
2000-09-18,10.7643718719
2000-09-19,10.8540763855
2000-09-20,11.3922920227
2000-09-21,11.0334815979
2000-09-22,10.5849666595
2000-09-25,10.9437761307
2000-09-26,11.1231842041
2000-09-27,11.3474435806
2000-09-28,11.7062530518
2000-09-29,11.7511062622
2000-10-02,10.9886302948
2000-10-03,10.9886302948
2000-10-04,11.3025875092
2000-10-05,11.3474435806
2000-10-06,11.3922920227
2000-10-09,10.7643718719
2000-10-10,10.9886302948
2000-10-11,10.4504127502
2000-10-12,9.8673400879
2000-10-13,10.0467472076
2000-10-16,10.0467472076
2000-10-17,9.5533809662
2000-10-18,9.5085296631
2000-10-19,9.8224925995
2000-10-20,10.4504127502
2000-10-23,10.360707283
2000-10-24,10.360707283
2000-10-25,9.9570446014
2000-10-26,9.8224925995
2000-10-27,9.6879358292
2000-10-30,9.46367836
2000-10-31,9.8224925995
2000-11-01,10.2710037231
2000-11-02,10.7195205688
2000-11-03,10.8989295959
2000-11-06,10.7643718719
2000-11-07,10.5849666595
2000-11-08,10.4055604935
2000-11-09,10.6746683121
2000-11-10,10.7643718719
2000-11-13,10.3158559799
2000-11-14,10.6746683121
2000-11-15,10.6746683121
2000-11-16,10.5849666595
2000-11-17,10.5849666595
2000-11-20,10.1364498138
2000-11-21,9.6879358292
2000-11-22,9.7327871323
2000-11-24,9.6879358292
2000-11-27,10.1364498138
2000-11-28,9.7776384354
2000-11-29,9.1497163773
2000-11-30,9.0600147247
2000-12-01,9.1945695877
2000-12-04,8.9254579544
2000-12-05,9.5085296631
2000-12-06,9.2394208908
2000-12-07,9.5085296631
2000-12-08,9.8673400879
2000-12-11,10.1364498138
2000-12-12,9.6879358292
2000-12-13,10.0915966034
2000-12-14,9.8673400879
2000-12-15,9.46367836
2000-12-18,9.8673400879
2000-12-19,9.5085296631
2000-12-20,9.2394208908
2000-12-21,9.1497163773
2000-12-22,8.8806095123
2000-12-26,8.7909040451
2000-12-27,8.6114969254
2000-12-28,8.8357563019
2000-12-29,8.7909040451
2001-01-02,8.9254579544
2001-01-03,9.9121904373
2001-01-04,9.643081665
2001-01-05,10.0018968582
2001-01-08,10.4055604935
2001-01-09,10.4952630997
2001-01-10,9.8673400879
2001-01-11,10.0467472076
2001-01-12,10.4055604935
2001-01-16,10.1813030243
2001-01-17,10.5849666595
2001-01-18,10.7643718719
2001-01-19,10.9437761307
2001-01-22,10.9886302948
2001-01-23,11.3922920227
2001-01-24,11.4371442795
2001-01-25,11.1231842041
2001-01-26,10.1813030243
2001-01-29,10.5132017136
2001-01-30,10.3409748077
2001-01-31,10.8361358643
2001-02-01,10.7356653214
2001-02-02,10.7859010696
2001-02-05,10.1543903351
2001-02-06,10.3266210556
2001-02-07,10.1543903351
2001-02-08,10.4270877838
2001-02-09,10.5060272217
2001-02-12,10.5419073105
2001-02-13,10.4557933807
2001-02-14,10.7930793762
2001-02-15,10.9581298828
2001-02-16,10.5132017136
2001-02-20,10.8361358643
2001-02-21,10.5634374619
2001-02-22,10.2620353699
2001-02-23,10.2261552811
2001-02-26,10.4629716873
2001-02-27,10.1902742386
2001-02-28,9.88169384
2001-03-01,10.0467472076
2001-03-02,9.702287674
2001-03-05,9.8673400879
2001-03-06,10.0467472076
2001-03-07,9.9391021729
2001-03-08,10.0108671188
2001-03-09,9.5228824615
2001-03-12,9.0061903
2001-03-13,9.2214794159
2001-03-14,9.1138353348
2001-03-15,9.3219451904
2001-03-16,9.3219451904
2001-03-19,9.1138353348
2001-03-20,8.6114969254
2001-03-21,8.6976137161
2001-03-22,8.7837285995
2001-03-23,9.2788877487
2001-03-26,9.3075933456
2001-03-27,9.1353635788
2001-03-28,8.755022049
2001-03-29,8.8196086884
2001-03-30,8.7837285995
2001-04-02,8.5038528442
2001-04-03,8.1163368225
2001-04-04,7.9010491371
2001-04-05,8.3244466782
2001-04-06,8.3244466782
2001-04-09,8.1880989075
2001-04-10,8.2885665894
2001-04-11,8.6043205261
2001-04-12,8.8554925919
2001-04-16,8.5038528442
2001-04-17,8.9200754166
2001-04-18,9.9104003906
2001-04-19,9.903222084
2001-04-20,9.5228824615
2001-04-23,9.400885582
2001-04-24,9.6879358292
2001-04-25,9.9391021729
2001-04-26,9.7596969604
2001-04-27,9.4439439774
2001-04-30,10.0539226532
2001-05-01,10.2405061722
2001-05-02,10.2548570633
2001-05-03,10.3337974548
2001-05-04,10.4055604935
2001-05-07,10.4414434433
2001-05-08,10.4199123383
2001-05-09,10.1185092926
2001-05-10,10.1185092926
2001-05-11,10.2476816177
2001-05-14,10.1185092926
2001-05-15,9.9534568787
2001-05-16,10.2189788818
2001-05-17,10.5203809738
2001-05-18,10.4988527298
2001-05-21,11.0227155685
2001-05-22,10.7643718719
2001-05-23,10.9366025925
2001-05-24,10.9724845886
2001-05-25,10.8002538681
2001-05-29,10.9581298828
2001-05-30,10.6567287445
2001-05-31,10.8146066666
2001-06-01,10.6352005005
2001-06-04,10.6997833252
2001-06-05,10.4342651367
2001-06-06,10.4055604935
2001-06-07,10.6064929962
2001-06-08,10.8146066666
2001-06-11,10.6136713028
2001-06-12,10.4486179352
2001-06-13,10.7284917831
2001-06-14,10.3696784973
2001-06-15,10.6352005005
2001-06-18,10.4844961166
2001-06-19,10.1543903351
2001-06-20,10.2261552811
2001-06-21,10.2620353699
2001-06-22,10.1902742386
2001-06-25,10.1902742386
2001-06-26,10.0108671188
2001-06-27,9.9104003906
