date,value
2003-01-02,4524.92
2003-01-03,4615.6796888482
2003-01-06,4684.1780774958
2003-01-07,4691.5476447058
2003-01-08,4828.7667118169
2003-01-09,4807.8406730334
2003-01-10,4838.280851297
2003-01-13,4963.6317918249
2003-01-14,4964.871114794
2003-01-15,4991.8802755831
2003-01-16,4926.3259654482
2003-01-17,4886.7958057637
2003-01-20,4939.7816485961
2003-01-21,4936.5431850439
2003-01-22,4985.8345293427
2003-01-23,5056.6310296702
2003-01-24,5041.8569200478
2003-01-27,4954.8979503975
2003-01-28,5009.5211160605
2003-02-06,4840.4419479647
2003-02-07,4754.1624910271
2003-02-10,4666.3829777391
2003-02-11,4632.7444660571
2003-02-12,4648.1664884703
2003-02-13,4523.6782782559
2003-02-14,4501.9685850502
2003-02-17,4706.3499769604
2003-02-18,4606.325184226
2003-02-19,4547.0130047605
2003-02-20,4538.2812881792
2003-02-21,4529.6666231383
2003-02-24,4591.7692834165
2003-02-25,4443.3259539321
2003-02-26,4447.3624502132
2003-02-27,4427.5453263278
2003-03-03,4513.0422196159
2003-03-04,4488.6726771298
2003-03-05,4414.9964472555
2003-03-06,4394.3878163635
2003-03-07,4342.55853119
2003-03-10,4302.0985314768
2003-03-11,4239.181166553
2003-03-12,4307.8300198764
2003-03-13,4354.0476920367
2003-03-14,4447.6126897454
2003-03-17,4332.3364739441
2003-03-18,4504.5609086109
2003-03-19,4471.962803417
2003-03-20,4556.6679610024
2003-03-21,4544.2423300371
2003-03-24,4526.9615077043
2003-03-25,4463.6023118927
2003-03-26,4457.8369601573
2003-03-27,4491.8436226721
2003-03-28,4455.7590677207
2003-03-31,4304.8006154729
2003-04-01,4323.1415824733
2003-04-02,4290.526443276
2003-04-03,4332.28459626
2003-04-04,4473.1048139959
2003-04-07,4547.5830043835
2003-04-08,4526.3227138461
2003-04-09,4516.9961303258
2003-04-10,4523.5509801272
2003-04-11,4509.4830197511
2003-04-14,4443.0728388433
2003-04-15,4464.3244015666
2003-04-16,4577.9083015377
2003-04-17,4540.9535323094
2003-04-18,4626.1834180642
2003-04-21,4609.3802579543
