date,value
2000-01-04,33.4290504456
2000-01-05,34.1801834106
2000-01-06,33.4290504456
2000-01-07,32.4899749756
2000-01-10,33.6167831421
2000-01-11,33.0533790588
2000-01-12,33.9924545288
2000-01-13,33.4290504456
2000-01-14,34.1801834106
2000-01-17,35.1192626953
2000-01-18,34.5558547974
2000-01-19,34.5558547974
2000-01-20,34.1801834106
2000-01-21,34.9313316345
2000-01-24,35.3070030212
2000-01-25,36.2460823059
2000-01-26,38.6874351501
2000-01-27,39.0630989075
2000-01-28,38.3119544983
2000-01-31,38.1240310669
2000-02-01,37.9362869263
2000-02-02,37.9362869263
2000-02-03,37.9362869263
2000-02-04,37.9362869263
2000-02-07,37.9362869263
2000-02-08,37.9362869263
2000-02-09,39.6265068054
2000-02-10,40.189907074
2000-02-11,41.1289901733
2000-02-14,40.189907074
2000-02-15,40.377658844
2000-02-16,40.0021781921
2000-02-17,39.6265068054
2000-02-18,39.0630989075
2000-02-21,36.6215515137
2000-02-22,36.6215515137
2000-02-23,36.4338035583
2000-02-24,36.6215515137
2000-02-25,37.3728904724
2000-02-28,37.3728904724
2000-02-29,37.7483673096
2000-03-01,38.6874351501
2000-03-02,38.1240310669
2000-03-03,38.1240310669
2000-03-06,37.5606307983
2000-03-07,37.3728904724
2000-03-08,37.1849555969
2000-03-09,37.5606307983
2000-03-10,36.6215515137
2000-03-13,34.1801834106
2000-03-14,34.9313316345
2000-03-15,34.3679275513
2000-03-16,34.5558547974
2000-03-17,35.6826667786
2000-03-20,34.5558547974
2000-03-21,36.6215515137
2000-03-22,36.0581436157
2000-03-23,37.7483673096
2000-03-24,37.1849555969
2000-03-27,39.6265068054
2000-03-28,39.2508392334
2000-03-29,38.3119544983
2000-03-30,39.0630989075
2000-03-31,38.4996871948
2000-04-03,38.4996871948
2000-04-04,38.4996871948
2000-04-05,39.0630989075
2000-04-06,37.9362869263
2000-04-07,37.5606307983
2000-04-10,39.4387588501
2000-04-11,38.4996871948
2000-04-12,37.5606307983
2000-04-13,36.0581436157
2000-04-14,34.9313316345
2000-04-17,33.6167831421
2000-04-18,35.4947471619
2000-04-19,34.3679275513
2000-04-20,34.9313316345
2000-04-21,34.9313316345
2000-04-24,33.804523468
2000-04-25,35.1192626953
2000-04-26,34.7435874939
2000-04-27,35.3070030212
2000-04-28,36.9972076416
2000-05-01,36.9972076416
2000-05-02,36.2460823059
2000-05-03,35.3070030212
2000-05-04,35.1192626953
2000-05-05,36.0581436157
2000-05-08,36.2460823059
2000-05-09,36.2460823059
2000-05-10,35.3070030212
2000-05-11,33.6167831421
2000-05-12,34.7435874939
2000-05-15,33.8947143555
2000-05-16,35.9379272461
2000-05-17,38.2216682434
2000-05-18,39.1833648682
2000-05-19,38.9428329468
2000-05-22,37.9813690186
2000-05-23,36.7793540955
2000-05-24,35.6976165771
2000-05-25,34.9764556885
2000-05-26,34.9764556885
2000-05-29,34.9764556885
2000-05-30,34.9764556885
2000-05-31,37.7408332825
2000-06-01,36.7793540955
2000-06-02,37.2602081299
2000-06-05,37.9813690186
2000-06-06,37.9813690186
2000-06-07,38.7025222778
2000-06-08,37.7408332825
2000-06-09,37.9813690186
