date,value
2000-01-04,69.6490325928
2000-01-05,71.2140426636
2000-01-06,69.6490325928
2000-01-07,67.692489624
2000-01-10,70.0401916504
2000-01-11,68.8663406372
2000-01-12,70.822883606
2000-01-13,69.6490325928
2000-01-14,71.2140426636
2000-01-17,73.1705780029
2000-01-18,71.9967346191
2000-01-19,71.9967346191
2000-01-20,71.2140426636
2000-01-21,72.779045105
2000-01-24,73.5617370605
2000-01-25,75.5182800293
2000-01-26,80.6048355103
2000-01-27,81.3875274658
2000-01-28,79.822517395
2000-01-31,79.4309844971
2000-02-01,79.0398254395
2000-02-02,79.0398254395
2000-02-03,79.0398254395
2000-02-04,79.0398254395
2000-02-07,79.0398254395
2000-02-08,79.0398254395
2000-02-09,82.561378479
2000-02-10,83.7352294922
2000-02-11,85.6917724609
2000-02-14,83.7352294922
2000-02-15,84.1263885498
2000-02-16,83.3440704346
2000-02-17,82.561378479
2000-02-18,81.3875274658
2000-02-21,76.3005981445
2000-02-22,76.3005981445
2000-02-23,75.9094390869
2000-02-24,76.3005981445
2000-02-25,77.8659820557
2000-02-28,77.8659820557
2000-02-29,78.6482925415
2000-03-01,80.6048355103
2000-03-02,79.4309844971
2000-03-03,79.4309844971
2000-03-06,78.2571411133
2000-03-07,77.8659820557
2000-03-08,77.4744491577
2000-03-09,78.2571411133
2000-03-10,76.3005981445
2000-03-13,71.2140426636
2000-03-14,72.779045105
2000-03-15,71.6052017212
2000-03-16,71.9967346191
2000-03-17,74.3444290161
2000-03-20,71.9967346191
2000-03-21,76.3005981445
2000-03-22,75.1267471313
2000-03-23,78.6482925415
2000-03-24,77.4744491577
2000-03-27,82.561378479
2000-03-28,81.7786865234
2000-03-29,79.822517395
2000-03-30,81.3875274658
2000-03-31,80.2136764526
2000-04-03,80.2136764526
2000-04-04,80.2136764526
2000-04-05,81.3875274658
2000-04-06,79.0398254395
2000-04-07,78.2571411133
2000-04-10,82.1702194214
2000-04-11,80.2136764526
2000-04-12,78.2571411133
2000-04-13,75.1267471313
2000-04-14,72.779045105
2000-04-17,70.0401916504
2000-04-18,73.9528961182
2000-04-19,71.6052017212
2000-04-20,72.779045105
2000-04-21,72.779045105
2000-04-24,70.431350708
2000-04-25,73.1705780029
2000-04-26,72.3878936768
2000-04-27,73.5617370605
2000-04-28,77.0832901001
2000-05-01,77.0832901001
2000-05-02,75.5182800293
2000-05-03,73.5617370605
2000-05-04,73.1705780029
2000-05-05,75.1267471313
2000-05-08,75.5182800293
2000-05-09,75.5182800293
2000-05-10,73.5617370605
2000-05-11,70.0401916504
2000-05-12,72.3878936768
2000-05-15,70.6192703247
2000-05-16,74.8762741089
2000-05-17,79.634437561
2000-05-18,81.6381225586
2000-05-19,81.1369628906
2000-05-22,79.1337509155
2000-05-23,76.6293792725
2000-05-24,74.3755874634
2000-05-25,72.8730621338
2000-05-26,72.8730621338
2000-05-29,72.8730621338
2000-05-30,72.8730621338
2000-05-31,78.6325912476
2000-06-01,76.6293792725
2000-06-02,77.6312255859
2000-06-05,79.1337509155
2000-06-06,79.1337509155
2000-06-07,80.6362762451
2000-06-08,78.6325912476
2000-06-09,79.1337509155
2000-06-12,78.6325912476
2000-06-13,77.6312255859
2000-06-14,77.1300582886
2000-06-15,75.1268539429
2000-06-16,75.1268539429
2000-06-19,74.1250076294
2000-06-20,74.3755874634
2000-06-21,73.6243286133
2000-06-22,74.6261672974
2000-06-23,73.1236419678
2000-06-26,70.8698501587
2000-06-27,70.8698501587
2000-06-28,72.1217956543
2000-06-29,71.3705368042
2000-06-30,73.1236419678
2000-07-03,71.8712158203
2000-07-04,70.6192703247
2000-07-05,74.6261672974
2000-07-06,72.6224822998
2000-07-07,71.1199493408
2000-07-10,71.8712158203
2000-07-11,72.1217956543
2000-07-12,71.8712158203
2000-07-13,72.6224822998
2000-07-14,73.1236419678
2000-07-17,71.8712158203
2000-07-18,71.1199493408
2000-07-19,71.1199493408
2000-07-20,67.6142120361
2000-07-21,65.1098403931
2000-07-24,63.3572158813
