date,value
2000-01-31,0.0552362954
2000-02-29,0.0564469076
2000-03-31,0.0548480205
2000-04-30,0.0592635183
2000-05-31,0.0797745972
2000-06-30,0.0796909267
2000-07-31,0.0710126301
2000-08-31,0.0779989226
2000-09-30,0.070085206
2000-10-31,0.0645335366
2000-11-30,0.0616110495
2000-12-31,0.0605110282
2001-01-31,0.0641200025
2001-02-28,0.05716293
2001-03-31,0.0549135905
2001-04-30,0.0597632042
2001-05-31,0.0643292843
2001-06-30,0.0982544982
2001-07-31,0.1121834937
2001-08-31,0.1018632297
2001-09-30,0.0873784992
2001-10-31,0.1056613712
2001-11-30,0.1100486288
2001-12-31,0.1043440235
2002-01-31,0.0978047176
2002-02-28,0.0946866066
2002-03-31,0.1017956666
2002-04-30,0.0937153974
2002-05-31,0.0976490696
2002-06-30,0.1055171804
2002-07-31,0.0824880291
2002-08-31,0.0801486814
2002-09-30,0.0738219597
2002-10-31,0.074834308
2002-11-30,0.0794926618
2002-12-31,0.0692853527
2003-01-31,0.0688257706
2003-02-28,0.0685003503
2003-03-31,0.0707346571
2003-04-30,0.0832286408
2003-05-31,0.0848829842
2003-06-30,0.0848293647
2003-07-31,0.0884331222
2003-08-31,0.094640154
2003-09-30,0.0927050071
2003-10-31,0.0844980074
2003-11-30,0.0834765128
2003-12-31,0.0787990363
2004-01-31,0.0757704978
2004-02-29,0.0687057867
2004-03-31,0.0670823928
2004-04-30,0.0683903081
2004-05-31,0.0681147071
2004-06-30,0.0795830076
2004-07-31,0.0757858866
2004-08-31,0.0785350471
2004-09-30,0.069947826
2004-10-31,0.0716305748
2004-11-30,0.0740258009
2004-12-31,0.0750352585
2005-01-31,0.0787043478
2005-02-28,0.0802093482
2005-03-31,0.077532435
2005-04-30,0.0804927347
2005-05-31,0.0852613408
2005-06-30,0.0873509401
2005-07-31,0.0831404056
2005-08-31,0.0871103817
2005-09-30,0.0875476378
2005-10-31,0.0901348266
2005-11-30,0.095601177
2005-12-31,0.094831438
2006-01-31,0.0964937252
2006-02-28,0.0920112569
2006-03-31,0.095681064
2006-04-30,0.0923999383
2006-05-31,0.0852964715
2006-06-30,0.0896745337
2006-07-31,0.0873422413
2006-08-31,0.090264725
2006-09-30,0.0890934523
2006-10-31,0.088505195
2006-11-30,0.0880416433
2006-12-31,0.0876659392
2007-01-31,0.0890926707
2007-02-28,0.0892496066
2007-03-31,0.0875802827
2007-04-30,0.0888166384
2007-05-31,0.0851197534
2007-06-30,0.081966647
2007-07-31,0.0717212854
2007-08-31,0.0712178045
2007-09-30,0.0684246288
2007-10-31,0.0669428475
2007-11-30,0.0713307067
2007-12-31,0.0702540965
2008-01-31,0.0795489718
2008-02-29,0.073223181
2008-03-31,0.0737951363
2008-04-30,0.0748671725
2008-05-31,0.0761663348
2008-06-30,0.0863338745
2008-07-31,0.0806386071
2008-08-31,0.0841327065
2008-09-30,0.0924252932
2008-10-31,0.0993620398
