date,value
1998-08-31,7811210000000
1998-09-30,8451570000000
1998-10-31,9237620000000
1998-11-30,9255870000000
1998-12-31,8392610000000.0009765625
1999-01-31,8129540000000
1999-02-28,8451969999999.9990234375
1999-03-31,9305670000000
1999-04-30,10050750000000
1999-05-31,9956870000000
1999-06-30,10714070000000
1999-07-31,9754920000000
1999-08-31,10515430000000
1999-09-30,10212520000000
1999-10-31,10755400000000
1999-11-30,10724790000000
1999-12-31,11787330000000
2000-01-31,13985510000000
2000-02-29,13550710000000
2000-03-31,14223300000000
2000-04-30,12649860000000
2000-05-31,12270460000000
2000-06-30,11422780000000
2000-07-31,11150500000000
2000-08-31,10751270000000
2000-09-30,9251930000000
2000-10-31,9468170000000
2000-11-30,9057150000000
2000-12-31,8191470000000
2001-01-31,10258510000000
2001-02-28,9816500000000
2001-03-31,10048290000000
2001-04-30,9493680000000
2001-05-31,8674440000000.0009765625
2001-06-30,7959980000000
2001-07-31,7189440000000
2001-08-31,7677980000000
2001-09-30,6503220000000
2001-10-31,7055020000000
2001-11-30,8106290000000
2001-12-31,10247600000000
2002-01-31,10870370000000
2002-02-28,10583000000000
2002-03-31,11584560000000
2002-04-30,11409820000000
2002-05-31,10699980000000
2002-06-30,9529130000000
2002-07-31,9052560000000
2002-08-31,9206090000000
2002-09-30,8232309999999.9990234375
2002-10-31,9187930000000
2002-11-30,9393670000000
2002-12-31,9091460000000
2003-01-31,10247850000000
2003-02-28,9066130000000
2003-03-31,8842470000000
2003-04-30,8492320000000
2003-05-31,9319740000000
2003-06-30,9935600000000
2003-07-31,10654350000000
2003-08-31,11305590000000
2003-09-30,11455460000000
2003-10-31,12662580000000
2003-11-30,12148000000000
2003-12-31,12869100000000
2004-01-31,13910350000000
2004-02-29,14759640000000
2004-03-31,14283420000000
2004-04-30,13426530000000
2004-05-31,13129200000000
2004-06-30,12641140000000
2004-07-31,11766120000000
2004-08-31,12439420000000
2004-09-30,12866890000000
2004-10-31,12709700000000
2004-11-30,13281160000000
2004-12-31,13989100000000
2005-01-31,13733070000000
2005-02-28,14252770000000
2005-03-31,13806610000000
2005-04-30,13402020000000
2005-05-31,13871570000000
2005-06-30,14455310000000
2005-07-31,14663540000000
2005-08-31,14205760000000
2005-09-30,14441800000000
2005-10-31,13685140000000
2005-11-30,14763600000000
2005-12-31,15633860000000
2006-01-31,15610370000000
2006-02-28,15700550000000
2006-03-31,15916500000000
2006-04-30,17482919999999.998046875
2006-05-31,16741869999999.998046875
2006-06-30,16389160000000
2006-07-31,15789530000000
2006-08-31,16198360000000
2006-09-30,16863259999999.998046875
2006-10-31,17344990000000.001953125
2006-11-30,18722600000000
2006-12-31,19376970000000
2007-01-31,19038420000000
2007-02-28,19540690000000
2007-03-31,19510860000000
2007-04-30,19465940000000
2007-05-31,20163550000000
2007-06-30,21986360000000
2007-07-31,23036130000000
2007-08-31,22378100000000
2007-09-30,23625930000000
2007-10-31,24224830000000
2007-11-30,21594360000000
2007-12-31,21527300000000
2008-01-31,19139760000000
2008-02-29,21383380000000
2008-03-31,21734310000000
2008-04-30,22645330000000
2008-05-31,21891980000000
2008-06-30,19137110000000
2008-07-31,17893940000000
2008-08-31,17974760000000
2008-09-30,14584150000000
2008-10-31,12403190000000
2008-11-30,11365320000000
2008-12-31,11706530000000
2009-01-31,10844280000000
2009-02-28,11636280000000
2009-03-31,13199270000000
2009-04-30,15097740000000
2009-05-31,17348849999999.998046875
2009-06-30,16214570000000
2009-07-31,17893120000000
2009-08-31,17329599999999.998046875
2009-09-30,19107810000000
2009-10-31,18727630000000
2009-11-30,19402590000000
2009-12-31,21033640000000
2010-01-31,19705870000000
2010-02-28,19158880000000
2010-03-31,20426040000000
2010-04-30,20646720000000
2010-05-31,19051870000000
2010-06-30,18918910000000
2010-07-31,20071130000000
2010-08-31,19764050000000
2010-09-30,21399710000000
2010-10-31,21655030000000
2010-11-30,22031400000000
2010-12-31,23811420000000
2011-01-31,24235330000000
2011-02-28,22826280000000
2011-03-31,23066610000000
2011-04-30,23938930000000
2011-05-31,23891460000000
2011-06-30,23012090000000
2011-07-31,23079670000000
2011-08-31,20734800000000
2011-09-30,19397420000000
2011-10-31,20392980000000
2011-11-30,18686990000000
2011-12-31,19216180000000
2012-01-31,20458180000000
2012-02-29,22116170000000
2012-03-31,21641480000000
2012-04-30,20480200000000
2012-05-31,19942560000000
2012-06-30,19981110000000
2012-07-31,19913980000000
2012-08-31,20352740000000
2012-09-30,21222470000000
2012-10-31,19768500000000
2012-11-30,20916110000000
2012-12-31,21352160000000
2013-01-31,21862900000000
2013-02-28,22027000000000
2013-03-31,22128640000000
2013-04-30,22648520000000
2013-05-31,23119270000000
2013-06-30,22608260000000
2013-07-31,22727870000000
2013-08-31,22566860000000
2013-09-30,23037090000000
2013-10-31,23883570000000
2013-11-30,23875850000000
2013-12-31,24519560000000
2014-01-31,24137810000000
2014-02-28,24567880000000
2014-03-31,25187450000000
2014-04-30,25090650000000
2014-05-31,25939940000000
2014-06-30,26852670000000
2014-07-31,26662080000000
2014-09-30,25790090000000
2014-10-31,25837370000000
2014-11-30,26446770000000
2014-12-31,26891500000000
2015-01-31,27081370000000
2015-02-28,27859490000000
