date,value
2008-06-26,33.9966392517
2008-06-27,33.9417877197
2008-06-30,33.9692344666
2008-07-01,33.667514801
2008-07-02,33.1738319397
2008-07-03,33.2629623413
2008-07-07,33.1943817139
2008-07-08,33.2560997009
2008-07-09,32.8721046448
2008-07-10,32.8172454834
2008-07-11,32.6732711792
2008-07-14,32.5635452271
2008-07-15,32.0629997253
2008-07-16,32.7212600708
2008-07-17,33.139541626
2008-07-18,33.1052436829
2008-07-21,33.2081031799
2008-07-22,33.3932380676
2008-07-23,33.6538047791
2008-07-24,32.9132575989
2008-07-25,33.0572433472
2008-07-28,32.5292663574
2008-07-29,32.8446884155
2008-07-30,33.3932380676
2008-07-31,33.0572433472
2008-08-01,32.8652648926
2008-08-04,32.3852653503
2008-08-05,33.1806716919
2008-08-06,33.4000854492
2008-08-07,32.638961792
2008-08-08,33.0709533691
2008-08-11,33.2698173523
2008-08-12,32.8103981018
2008-08-13,32.446975708
2008-08-14,32.5909729004
2008-08-15,32.5635452271
2008-08-18,32.0218582153
2008-08-19,31.7475757599
2008-08-20,32.0355682373
2008-08-21,32.2824134827
2008-08-22,32.4538421631
2008-08-25,31.8572769165
2008-08-26,32.0218582153
2008-08-27,32.0629997253
2008-08-28,32.7418289185
2008-08-29,32.446975708
2008-09-02,31.5418605804
2008-09-03,31.6515808105
2008-09-04,30.4859027863
2008-09-05,30.2870540619
2008-09-08,31.1441631317
2008-09-09,30.3693389893
2008-09-10,30.6161613464
2008-09-11,30.5956134796
2008-09-12,30.9384555817
2008-09-15,29.6699180603
2008-09-16,30.1636352539
2008-09-17,28.5316772461
2008-09-18,30.0333480835
2008-09-19,31.8230056763
2008-09-22,30.6710472107
2008-09-23,30.8699035645
2008-09-24,29.8961963654
2008-09-25,30.7464637756
2008-09-26,31.0413074493
2008-09-29,29.0733833313
2008-09-30,29.4916324615
2008-10-01,29.0596599579
2008-10-02,27.4962825775
2008-10-03,27.2562885284
2008-10-06,25.9534759521
2008-10-07,24.7603626251
2008-10-08,24.3763866425
2008-10-09,23.2107086182
2008-10-10,22.4770069122
2008-10-13,25.5009174347
2008-10-14,26.0426158905
2008-10-15,22.8815689087
2008-10-16,23.4232692719
2008-10-17,23.1969852448
2008-10-20,24.8220844269
2008-10-21,23.2861328125
2008-10-22,21.578754425
2008-10-23,21.530752182
2008-10-24,21.3730487823
2008-10-27,20.1799411774
2008-10-28,21.3936157227
2008-10-29,22.9707126617
2008-10-30,23.1695709229
2008-10-31,23.1695709229
2008-11-03,23.1832790375
2008-11-04,24.4312381744
2008-11-05,23.1489944458
2008-11-06,21.7844581604
2008-11-07,22.8472881317
2008-11-10,22.6347141266
2008-11-11,21.7364692688
2008-11-12,20.7422084808
2008-11-13,22.2918739319
2008-11-14,20.9616279602
2008-11-17,20.7833518982
2008-11-18,20.9342060089
2008-11-19,19.5491008759
2008-11-20,18.2531433105
2008-11-21,19.6862430573
2008-11-24,20.7079219818
2008-11-25,20.9204807281
2008-11-26,21.4279022217
2008-11-28,21.5924625397
2008-12-01,19.816526413
2008-12-02,20.7627754211
2008-12-03,21.1810512543
2008-12-04,20.3924980164
2008-12-05,21.0439147949
2008-12-08,21.9147415161
2008-12-09,21.5993232727
2008-12-10,22.0381660461
2008-12-11,21.7090377808
2008-12-12,21.9078884125
2008-12-15,21.7364692688
2008-12-16,22.922712326
2008-12-17,22.8130054474
2008-12-18,22.1067371368
2008-12-19,22.0244522095
2008-12-22,21.7844581604
2008-12-23,21.5856132507
2008-12-24,21.7257137299
2008-12-26,21.9120483398
2008-12-29,21.8982467651
2008-12-30,22.4710617065
2008-12-31,22.7609272003
2009-01-02,23.3751583099
2009-01-05,23.4441642761
2009-01-06,23.3613548279
2009-01-07,22.843744278
2009-01-08,22.767829895
2009-01-09,22.2157096863
2009-01-12,21.6497955322
2009-01-13,21.4634532928
2009-01-14,20.7111968994
2009-01-15,20.9527492523
2009-01-16,21.2081069946
2009-01-20,19.6483764648
2009-01-21,20.7042922974
2009-01-22,20.3040122986
2009-01-23,20.3316230774
2009-01-26,20.4696445465
2009-01-27,20.863035202
2009-01-28,21.5048618317
2009-01-29,20.586971283
2009-01-30,20.2902164459
2009-02-02,20.2556991577
2009-02-03,20.6559867859
2009-02-04,20.5110530853
2009-02-05,21.4082431793
2009-02-06,21.5324687958
2009-02-09,21.4703598022
2009-02-10,20.4696445465
2009-02-11,20.6145820618
2009-02-12,20.5662708282
2009-02-13,20.4903507233
2009-02-17,19.3930244446
2009-02-18,19.2756938934
2009-02-19,19.220489502
2009-02-20,18.6338691711
2009-02-23,18.33710289
2009-02-24,19.0548553467
2009-02-25,18.778799057
2009-02-26,18.6476669312
2009-02-27,18.3578071594
2009-03-02,17.4192199707
2009-03-03,17.2742862701
2009-03-04,18.0058364868
2009-03-05,17.2673816681
2009-03-06,17.2052707672
2009-03-09,16.9085063934
2009-03-10,18.1093597412
2009-03-11,18.1231575012
2009-03-12,18.7926025391
2009-03-13,19.3240089417
2009-03-16,18.9030189514
2009-03-17,19.4620304108
2009-03-18,19.9175357819
2009-03-19,19.8140163422
2009-03-20,19.4551353455
2009-03-23,20.9596538544
2009-03-24,20.3592281342
2009-03-25,20.6421833038
2009-03-26,20.9941635132
2009-03-27,20.414434433
2009-03-30,19.5724658966
2009-03-31,19.9796524048
2009-04-01,20.4006347656
2009-04-02,21.2633132935
2009-04-03,21.3599357605
2009-04-06,21.1390914917
2009-04-07,20.6559867859
2009-04-08,20.9803466797
2009-04-09,21.7119083405
2009-04-13,21.8430271149
2009-04-14,21.5462703705
2009-04-15,21.8085231781
2009-04-16,22.0638790131
2009-04-17,22.0224704742
2009-04-20,21.0148639679
2009-04-21,21.4841575623
2009-04-22,21.3599357605
2009-04-23,21.8085231781
2009-04-24,22.0500793457
2009-04-27,21.8016281128
2009-04-28,21.6221885681
2009-04-29,22.1881065369
2009-04-30,22.3882484436
2009-05-01,22.6504955292
2009-05-04,23.5200843811
2009-05-05,23.3820610046
2009-05-06,23.7547206879
2009-05-07,23.4855728149
2009-05-08,24.3206501007
2009-05-11,23.6166992188
2009-05-12,23.7478294373
2009-05-13,23.0576877594
2009-05-14,23.2302207947
2009-05-15,23.1059894562
2009-05-18,24.0031871796
2009-05-19,24.0997982025
2009-05-20,24.0860023499
2009-05-21,23.8651561737
2009-05-22,23.9479751587
2009-05-26,24.4448719025
2009-05-27,24.0307922363
2009-05-28,24.4172611237
2009-05-29,24.7623310089
2009-06-01,25.4938926697
2009-06-02,25.4524803162
2009-06-03,24.9210681915
2009-06-04,25.1626262665
2009-06-05,25.0383930206
2009-06-08,24.9210681915
2009-06-09,25.1419143677
2009-06-10,25.0660057068
2009-06-11,25.4455833435
2009-06-12,25.3765602112
2009-06-15,24.6036109924
2009-06-16,24.2723369598
2009-06-17,24.1688175201
2009-06-18,24.224023819
2009-06-19,24.2930355072
2009-06-22,23.5476875305
2009-06-23,23.8030376434
2009-06-24,24.0238838196
2009-06-25,24.5346012115
2009-06-26,24.5483989716
2009-06-29,24.7485408783
2009-06-30,24.3344478607
2009-07-01,24.7692337036
2009-07-02,24.0376930237
2009-07-06,24.0031871796
2009-07-07,23.5200843811
2009-07-08,23.4579658508
2009-07-09,23.665019989
2009-07-10,23.5545902252
2009-07-13,24.0100841522
2009-07-14,24.1688175201
2009-07-15,24.9969882965
2009-07-16,25.1143093109
2009-07-17,25.1695175171
2009-07-20,25.6457252502
2009-07-21,25.6457252502
2009-07-22,25.7216339111
2009-07-23,26.2944526672
2009-07-24,26.3634757996
2009-07-27,26.4600925446
2009-07-28,26.3496723175
2009-07-29,26.0667114258
2009-07-30,26.5981349945
2009-07-31,26.7982673645
2009-08-03,27.377986908
2009-08-04,27.2882633209
2009-08-05,27.2606544495
2009-08-06,27.0812187195
2009-08-07,27.2744541168
2009-08-10,27.1019172668
2009-08-11,26.8120708466
2009-08-12,27.1088180542
2009-08-13,27.4469985962
2009-08-14,27.1640472412
2009-08-17,26.3565692902
2009-08-18,26.7154445648
2009-08-19,26.8258686066
2009-08-20,27.1364364624
2009-08-21,27.6885490417
2009-08-24,27.7230587006
2009-08-25,27.7989692688
2009-08-26,27.7092380524
2009-08-27,27.7920665741
2009-08-28,27.7851715088
2009-08-31,27.516002655
2009-09-01,26.9155807495
2009-09-02,26.9639091492
2009-09-03,27.2606544495
2009-09-04,27.6057415009
2009-09-08,28.1095294952
2009-09-09,28.3648853302
2009-09-10,28.6616649628
2009-09-11,28.6271419525
2009-09-14,28.7168598175
2009-09-15,28.8410892487
2009-09-16,29.3379821777
2009-09-17,29.2896728516
2009-09-18,29.3034706116
2009-09-21,29.0619354248
2009-09-22,29.4760189056
2009-09-23,29.1033363342
2009-09-24,28.6754436493
2009-09-25,28.6064338684
2009-09-28,29.0343284607
2009-09-29,28.9929141998
2009-09-30,28.9584121704
2009-10-01,28.2061519623
2009-10-02,28.0681209564
2009-10-05,28.4546108246
2009-10-06,28.8065853119
2009-10-07,28.944601059
2009-10-08,29.3448944092
2009-10-09,29.38630867
2009-10-12,29.5381221771
2009-10-13,29.4760189056
2009-10-14,30.1661605835
2009-10-15,30.2006759644
