date,value
2001-06-15,35.9151496887
2001-06-18,35.686088562
2001-06-19,35.786113739
2001-06-20,36.1635551453
2001-06-21,36.4538879395
2001-06-22,36.2216186523
2001-06-25,35.9887657166
2001-06-26,35.8949699402
2001-06-27,35.8982200623
2001-06-28,36.3380317688
2001-06-29,36.5450210571
2001-07-02,36.6420516968
2001-07-03,36.6226234436
2001-07-05,36.2054481506
2001-07-06,35.2514038086
2001-07-09,35.477771759
2001-07-10,35.0088500977
2001-07-11,35.0541000366
2001-07-12,35.8852806091
2001-07-13,36.0566864014
2001-07-16,35.6394805908
2001-07-17,36.059928894
2001-07-18,35.6847419739
2001-07-19,35.8852806091
2001-07-20,35.8885192871
2001-07-23,35.2675590515
2001-07-24,34.7792243958
2001-07-25,35.2190475464
2001-07-26,35.6685905457
2001-07-27,35.7300338745
2001-07-30,35.7009277344
2001-07-31,35.8464584351
2001-08-01,36.0016860962
2001-08-02,36.1148796082
2001-08-03,35.9887657166
2001-08-06,35.5748062134
2001-08-07,35.6394805908
2001-08-08,34.9926528931
2001-08-09,35.0961532593
2001-08-10,35.2384605408
2001-08-13,35.2999000549
2001-08-14,35.2222976685
2001-08-15,34.9182815552
2001-08-16,35.02501297
2001-08-17,34.4913978577
2001-08-20,34.7339401245
2001-08-21,34.2488327026
2001-08-22,34.5657730103
2001-08-23,34.5204849243
2001-08-24,35.1511421204
2001-08-27,35.02501297
2001-08-28,34.4396438599
2001-08-29,34.1162376404
2001-08-30,33.605255127
2001-08-31,33.7475357056
2001-09-04,33.569683075
2001-09-05,33.5211753845
2001-09-06,32.842010498
2001-09-07,32.1790237427
2001-09-10,32.4215888977
2001-09-17,30.8821582794
2001-09-18,30.4876041412
2001-09-19,30.0768756866
2001-09-20,29.1066665649
2001-09-21,28.6377239227
2001-09-24,29.6617050171
2001-09-25,29.9408359528
2001-09-26,29.710401535
2001-09-27,30.0057430267
2001-09-28,30.8171577454
2001-10-01,30.5380096436
2001-10-02,30.9145050049
2001-10-03,31.4597854614
2001-10-04,31.563627243
2001-10-05,31.5798721313
2001-10-08,31.3689060211
2001-10-09,31.1611843109
2001-10-10,31.9011936188
2001-10-11,32.4853897095
2001-10-12,32.2387313843
2001-10-15,32.2841567993
2001-10-16,32.4659156799
2001-10-17,31.8070678711
2001-10-18,31.6415500641
2001-10-19,31.7291603088
2001-10-22,32.2030296326
2001-10-23,32.0829391479
2001-10-24,32.0667152405
2001-10-25,32.5210876465
2001-10-26,32.6963500977
2001-10-29,31.9368896484
2001-10-30,31.4110717773
2001-10-31,31.4500274658
2001-11-01,32.1121635437
2001-11-02,32.1640853882
2001-11-05,32.6249542236
2001-11-06,33.098815918
2001-11-07,33.0403900146
2001-11-08,33.0598678589
2001-11-09,33.1312561035
2001-11-12,33.0728607178
2001-11-13,33.6570701599
2001-11-14,33.8647651672
2001-11-15,33.7576751709
2001-11-16,33.7447052002
2001-11-19,34.0887260437
2001-11-20,33.8453025818
2001-11-21,33.637588501
2001-11-23,34.049785614
2001-11-26,34.2575035095
2001-11-27,34.1633720398
2001-11-28,33.442855835
2001-11-29,33.9556541443
2001-11-30,33.8453025818
2001-12-03,33.6116218567
2001-12-04,34.0530357361
2001-12-05,34.8904037476
2001-12-06,34.8254776001
2001-12-07,34.7508163452
2001-12-10,34.0952186584
2001-12-11,34.0075950623
2001-12-12,33.9881095886
2001-12-13,33.4817962646
2001-12-14,33.634349823
2001-12-17,33.8810043335
2001-12-18,34.2315406799
2001-12-19,34.387336731
2001-12-20,34.0789985657
2001-12-21,34.2607574463
2001-12-24,34.3366737366
2001-12-26,34.5060501099
2001-12-27,34.7047920227
2001-12-28,34.8090324402
2001-12-31,34.333404541
2002-01-02,34.6135559082
2002-01-03,34.9849433899
2002-01-04,35.2162284851
2002-01-07,34.9882087708
2002-01-08,34.8872032166
2002-01-09,34.7699432373
2002-01-10,34.7438850403
2002-01-11,34.4539413452
2002-01-14,34.1835441589
2002-01-15,34.4180984497
2002-01-16,33.847984314
2002-01-17,34.1998329163
2002-01-18,33.8838195801
2002-01-22,33.6199531555
2002-01-23,33.9098854065
2002-01-24,34.0597572327
2002-01-25,34.1151351929
2002-01-28,34.0890731812
2002-01-29,33.2420425415
2002-01-30,33.5547981262
2002-01-31,34.0336685181
2002-02-01,33.8349609375
2002-02-04,33.0172653198
2002-02-05,32.8999977112
2002-02-06,32.6817169189
2002-02-07,32.5448989868
2002-02-08,33.0107574463
2002-02-11,33.4668502808
2002-02-12,33.3854026794
2002-02-13,33.6948776245
2002-02-14,33.6492767334
2002-02-15,33.2843971252
2002-02-19,32.6654396057
2002-02-20,33.0726509094
2002-02-21,32.5448989868
2002-02-22,32.7827110291
2002-02-25,33.365852356
2002-02-26,33.4766082764
2002-02-27,33.3593330383
2002-02-28,33.4375190735
2002-03-01,34.1053504944
2002-03-04,34.7438850403
2002-03-05,34.5484237671
2002-03-06,35.0500946045
